Field1,day,is_member,start_stat,index,Code,name,latitude,longitude,trip_per_d,cluster,FID1,FID_1,Field1_1,day_1,is_membe_1,start_st_1,index_1,Code_1,name_1,latitude_x,longitude_,year_x,trip_c,emplacemen,pk,FID_,latitude_y,longitude1,year_y,X_x,Y_x,cluster_1,X_y,Y_y,X_mean,Y_mean,FID_2,DAUID,CDNAME,DAU,OID_,DAU_1,pop_2016,popden,age_0_14,age_15_30,age_30_45,age_p_45,lang_e,lang_f,lang_ef,inc_em,inc_aft,inc_low_,edu_unideg,to_work_ca,to_work_pt,to_work_wa,to_work_bi
12,198,5598,7678,6004,6004,du Champ-de-Mars / Gosford,45.50965520000,-73.55400860000,38.77777778000,618,0,13,26,202,0.00000000000,0.00000000000,409,0.00000000000,du Champ-de-Mars / Gosford,45.50965500000,-73.55400900000,2022,8308,8308.00000000000,409.00000000000,874,45.50965500000,-73.55400900000,2022,300580,5041080,618,300580.00000000000,5041080.00000000000,300580.00000000000,5041080.00000000000,346,24661257,Montr?Ñal,24661257,1152,24661257,787,4213.10000000000,0.05717916100,0.17153748400,0.36848792900,0.40279542600,0.09554140100,0.08280254800,0.80891719700,76715,61568,0.14600000000,0.49077490800,0.38554216900,0.13253012000,0.44578313300,0.04819277100
13,194,10542,12575,6005,6005,Metcalfe / du Square-Dorchester,45.50020806000,-73.57113786000,64.81958763000,780,0,14,28,200,0.00000000000,0.00000000000,687,0.00000000000,Metcalfe / du Square-Dorchester,45.50020800000,-73.57113800000,2022,9510,9510.00000000000,687.00000000000,1094,45.50020800000,-73.57113800000,2022,299241,5040030,780,299241.00000000000,5040030.00000000000,299241.00000000000,5040030.00000000000,363,24661283,Montr?Ñal,24661283,1173,24661283,2492,3006.00000000000,0.04614767300,0.41332263200,0.32303370800,0.21749598700,0.29317269100,0.04618473900,0.64658634500,52736,45664,0.35500000000,0.45157657700,0.31174089100,0.15384615400,0.51417004000,0.00809716600
14,199,5402,6240,6006,6006,18e avenue / Rosemont,45.55789546000,-73.57652910000,31.35678392000,461,0,15,30,155,0.00000000000,0.00000000000,601,0.00000000000,18e avenue / Rosemont,45.55789600000,-73.57652900000,2022,7141,7141.00000000000,601.00000000000,1032,45.55789600000,-73.57652900000,2022,298825,5046450,461,298825.00000000000,5046450.00000000000,298825.00000000000,5046450.00000000000,400,24662088,Montr?Ñal,24662088,1919,24662088,712,19668.50000000000,0.20365168500,0.23876404500,0.25983146100,0.29775280900,0.02797202800,0.50349650300,0.44055944100,36480,35371,0.44400000000,0.12781954900,0.46511627900,0.46511627900,0.06976744200,0.00000000000
15,181,4508,5956,6007,6007,de l'H??tel-de-Ville / Ste-Catherine,45.51166046000,-73.56213570000,32.90607735000,611,0,16,32,202,0.00000000000,0.00000000000,321,0.00000000000,de l'H??tel-de-Ville / Ste-Catherine,45.51166000000,-73.56213600000,2022,13730,13730.00000000000,321.00000000000,796,45.51166000000,-73.56213600000,2022,299945,5041310,611,299945.00000000000,5041310.00000000000,299945.00000000000,5041310.00000000000,350,24661261,Montr?Ñal,24661261,1156,24661261,779,13935.60000000000,0.05776636700,0.32092426200,0.37869062900,0.24261874200,0.13461538500,0.16025641000,0.67948717900,37504,33216,0.31400000000,0.44214876000,0.17567567600,0.47297297300,0.24324324300,0.06756756800
16,199,7004,8799,6008,6008,Sanguinet / Ste-Catherine,45.51279686000,-73.56146247000,44.21608040000,30,0,17,34,153,0.00000000000,0.00000000000,324,0.00000000000,Sanguinet / Ste-Catherine,45.51279700000,-73.56146300000,2022,9692,9692.00000000000,324.00000000000,799,45.51279700000,-73.56146300000,2022,299998,5041430,30,300003.66666700000,5041433.33333000000,300003.66666700000,5041433.33333000000,333,24661265,Montr?Ñal,24661265,1160,24661265,512,4266.70000000000,0.01953125000,0.42968750000,0.27343750000,0.27734375000,0.07766990300,0.08737864100,0.81553398100,56448,48768,0.26700000000,0.44444444400,0.28571428600,0.35714285700,0.31428571400,0.02857142900
17,182,8976,12080,6009,6009,Crescent / de Maisonneuve,45.49811161000,-73.57761540000,66.37362637000,675,0,19,37,187,0.00000000000,0.00000000000,381,0.00000000000,Crescent / de Maisonneuve,45.49811200000,-73.57761500000,2022,29855,29855.00000000000,381.00000000000,850,45.49811200000,-73.57761500000,2022,298734,5039800,675,298734.00000000000,5039800.00000000000,298734.00000000000,5039800.00000000000,875,24661104,Montr?Ñal,24661104,1010,24661104,1446,6626.90000000000,0.04495159100,0.51521438500,0.21784232400,0.22199170100,0.38062283700,0.02422145300,0.58131487900,22272,20800,0.53700000000,0.40936863500,0.31372549000,0.30392156900,0.40196078400,0.00000000000
18,198,9343,10414,6011,6011,St-Andr?Ñ / St-Antoine,45.51411453000,-73.55264470000,52.59595960000,572,0,20,39,202,0.00000000000,0.00000000000,411,0.00000000000,St-Andr?Ñ / St-Antoine,45.51411400000,-73.55264500000,2022,9119,9119.00000000000,411.00000000000,876,45.51411400000,-73.55264500000,2022,300687,5041580,572,300687.00000000000,5041580.00000000000,300687.00000000000,5041580.00000000000,1682,24661927,Montr?Ñal,24661927,1775,24661927,958,9599.20000000000,0.02609603300,0.22442588700,0.30271398700,0.44676409200,0.08527131800,0.17054263600,0.72093023300,46208,41003,0.27500000000,0.41414141400,0.18571428600,0.54285714300,0.24285714300,0.00000000000
19,199,19314,25100,6012,6012,M?Ñtro St-Laurent (de Maisonneuve / St-Laurent),45.51066000000,-73.56497000000,126.13065330000,72,0,21,41,202,0.00000000000,0.00000000000,317,0.00000000000,M?Ñtro St-Laurent (de Maisonneuve / St-Laurent),45.51066000000,-73.56497000000,2022,25268,25268.00000000000,317.00000000000,794,45.51066000000,-73.56497000000,2022,299724,5041200,72,299713.60000000000,5041202.00000000000,299713.60000000000,5041202.00000000000,302,24661262,Montr?Ñal,24661262,1157,24661262,872,10544.10000000000,0.05160550500,0.19495412800,0.35550458700,0.39793578000,0.10857142900,0.15428571400,0.72000000000,59776,49451,0.20900000000,0.45666666700,0.25490196100,0.29411764700,0.39215686300,0.02941176500
20,199,9258,11475,6013,6013,Sanguinet / de Maisonneuve,45.51340554000,-73.56259435000,57.66331658000,375,0,25,46,202,0.00000000000,0.00000000000,327,0.00000000000,Sanguinet / de Maisonneuve,45.51340500000,-73.56259400000,2022,14505,14505.00000000000,327.00000000000,802,45.51340500000,-73.56259400000,2022,299909,5041500,375,299909.00000000000,5041500.00000000000,299909.00000000000,5041500.00000000000,333,24661265,Montr?Ñal,24661265,1160,24661265,512,4266.70000000000,0.01953125000,0.42968750000,0.27343750000,0.27734375000,0.07766990300,0.08737864100,0.81553398100,56448,48768,0.26700000000,0.44444444400,0.28571428600,0.35714285700,0.31428571400,0.02857142900
21,199,8448,10358,6014,6014,St-Denis / Ren?Ñ-L?Ñvesque,45.51287122000,-73.55846643000,52.05025126000,506,0,26,48,58,0.00000000000,0.00000000000,681,0.00000000000,St-Denis / Ren?Ñ-L?Ñvesque,45.51287100000,-73.55846600000,2022,4446,4446.00000000000,681.00000000000,1091,45.51287100000,-73.55846600000,2022,300232,5041440,506,300232.00000000000,5041440.00000000000,300232.00000000000,5041440.00000000000,1683,24661928,Montr?Ñal,24661928,1776,24661928,596,7821.50000000000,0.02516778500,0.31879194600,0.38590604000,0.27013422800,0.12605042000,0.14285714300,0.73109243700,55488,45952,0.23500000000,0.46376811600,0.15000000000,0.62500000000,0.22500000000,0.00000000000
22,199,22331,27920,6015,6015,BAnQ (Berri / de Maisonneuve),45.51529900000,-73.56127300000,140.30150750000,90,0,27,51,125,0.00000000000,0.00000000000,332,0.00000000000,BAnQ (Berri / de Maisonneuve),45.51529900000,-73.56127300000,2022,20124,20124.00000000000,332.00000000000,807,45.51529900000,-73.56127300000,2022,300013,5041710,90,300021.00000000000,5041723.33333000000,300021.00000000000,5041723.33333000000,1561,24661858,Montr?Ñal,24661858,1714,24661858,850,4735.40000000000,0.03529411800,0.37058823500,0.32941176500,0.26470588200,0.07878787900,0.12727272700,0.79393939400,40064,36352,0.30500000000,0.44029850700,0.16981132100,0.38679245300,0.35849056600,0.07547169800
23,195,1803,2356,6016,6016,Jacques-Le Ber / de la Pointe Nord,45.47250300000,-73.53928500000,12.08205128000,603,0,28,53,201,0.00000000000,0.00000000000,448,0.00000000000,Jacques-Le Ber / de la Pointe Nord,45.47250300000,-73.53928500000,2022,4725,4725.00000000000,448.00000000000,907,45.47250300000,-73.53928500000,2022,301728,5036950,603,301728.00000000000,5036950.00000000000,301728.00000000000,5036950.00000000000,273,24661240,Montr?Ñal,24661240,1137,24661240,2392,3181.30000000000,0.14005016700,0.14423076900,0.33653846200,0.37918060200,0.15962441300,0.08685446000,0.72065727700,92928,74445,0.14800000000,0.43622047200,0.68867924500,0.27830188700,0.01886792500,0.00000000000
24,199,6872,8069,6017,6017,Atateken / du Square Amherst,45.52063377000,-73.56390595000,40.54773869000,717,0,29,55,202,0.00000000000,0.00000000000,749,0.00000000000,Atateken / du Square Amherst,45.52063380000,-73.56390600000,2022,20774,20774.00000000000,749.00000000000,1110,45.52063380000,-73.56390600000,2022,299808,5042300,717,299808.00000000000,5042300.00000000000,299808.00000000000,5042300.00000000000,1866,24661849,Montr?Ñal,24661849,1705,24661849,613,17768.10000000000,0.11419249600,0.26101141900,0.37520391500,0.24959217000,0.03252032500,0.25203252000,0.69918699200,40832,36309,0.29400000000,0.43010752700,0.20000000000,0.36666666700,0.26666666700,0.13333333300
25,199,9050,10448,6018,6018,St-Andr?Ñ / Ontario,45.51889000000,-73.56353000000,52.50251256000,354,0,30,57,202,0.00000000000,0.00000000000,278,0.00000000000,St-Andr?Ñ / Ontario,45.51889000000,-73.56353000000,2022,11906,11906.00000000000,278.00000000000,762,45.51889000000,-73.56353000000,2022,299837,5042110,354,299837.00000000000,5042110.00000000000,299837.00000000000,5042110.00000000000,1873,24661856,Montr?Ñal,24661856,1712,24661856,360,12903.20000000000,0.06944444400,0.36111111100,0.34722222200,0.22222222200,0.05555555600,0.18055555600,0.76388888900,51072,43776,0.23100000000,0.37500000000,0.22500000000,0.37500000000,0.25000000000,0.12500000000
26,199,21149,24326,6019,6019,M?Ñtro Sherbrooke (de Rigaud / Berri),45.51799894000,-73.56818408000,122.24120600000,713,0,31,59,202,0.00000000000,0.00000000000,750,0.00000000000,M?Ñtro Sherbrooke (de Rigaud / St-Denis),45.51799890000,-73.56818410000,2022,29745,29745.00000000000,750.00000000000,1111,45.51799890000,-73.56818410000,2022,299473,5042010,713,299473.00000000000,5042010.00000000000,299473.00000000000,5042010.00000000000,1109,24663344,Montr?Ñal,24663344,3101,24663344,445,13444.10000000000,0.02247191000,0.15730337100,0.07865168500,0.74157303400,0.04494382000,0.29213483100,0.67415730300,27168,26448,0.37100000000,0.32374100700,0.17391304300,0.43478260900,0.13043478300,0.17391304300
27,186,9420,12198,6020,6020,Sanguinet / Ontario,45.51476724000,-73.56549114000,65.58064516000,765,0,32,61,27,0.00000000000,0.00000000000,271,0.00000000000,Sanguinet / Ontario,45.51476700000,-73.56549100000,2022,1851,1851.00000000000,271.00000000000,757,45.51476700000,-73.56549100000,2022,299683,5041650,765,299683.00000000000,5041650.00000000000,299683.00000000000,5041650.00000000000,333,24661265,Montr?Ñal,24661265,1160,24661265,512,4266.70000000000,0.01953125000,0.42968750000,0.27343750000,0.27734375000,0.07766990300,0.08737864100,0.81553398100,56448,48768,0.26700000000,0.44444444400,0.28571428600,0.35714285700,0.31428571400,0.02857142900
28,199,13339,15733,6021,6021,de l'H??tel-de-Ville / Sherbrooke,45.51456467000,-73.56840670000,79.06030151000,606,0,33,63,202,0.00000000000,0.00000000000,234,0.00000000000,de l'H??tel-de-Ville / Sherbrooke,45.51456500000,-73.56840700000,2022,16665,16665.00000000000,234.00000000000,724,45.51456500000,-73.56840700000,2022,299455,5041630,606,299455.00000000000,5041630.00000000000,299455.00000000000,5041630.00000000000,333,24661265,Montr?Ñal,24661265,1160,24661265,512,4266.70000000000,0.01953125000,0.42968750000,0.27343750000,0.27734375000,0.07766990300,0.08737864100,0.81553398100,56448,48768,0.26700000000,0.44444444400,0.28571428600,0.35714285700,0.31428571400,0.02857142900
29,199,8149,9385,6022,6022,William-Tremblay / Molson,45.54171981000,-73.56517732000,47.16080402000,154,0,34,65,201,0.00000000000,0.00000000000,929,0.00000000000,Molson / William-Tremblay,45.54154850000,-73.56501240000,2022,8279,8279.00000000000,929.00000000000,1192,45.54154850000,-73.56501240000,2022,299723,5044630,154,299716.50000000000,5044640.00000000000,299716.50000000000,5044640.00000000000,2763,24663401,Montr?Ñal,24663401,3158,24663401,1059,2525.00000000000,0.23607176600,0.10387157700,0.43437204900,0.22568460800,0.00471698100,0.30660377400,0.67452830200,125867,97920,0.01400000000,0.45302013400,0.56097561000,0.27642276400,0.08130081300,0.08130081300
30,199,13194,24504,6023,6023,de la Commune / Berri,45.51086000000,-73.54983000000,123.13567840000,638,0,35,67,202,0.00000000000,0.00000000000,471,0.00000000000,de la Commune / Berri,45.51086000000,-73.54983000000,2022,29110,29110.00000000000,471.00000000000,926,45.51086000000,-73.54983000000,2022,300907,5041220,638,300907.00000000000,5041220.00000000000,300907.00000000000,5041220.00000000000,1680,24661925,Montr?Ñal,24661925,1773,24661925,2333,10528.00000000000,0.09001285900,0.16288041100,0.35362194600,0.39348478400,0.06415929200,0.20353982300,0.72566371700,77568,62336,0.17900000000,0.43741209600,0.47773279400,0.26315789500,0.19838056700,0.05668016200
32,198,3928,6488,6025,6025,Notre-Dame / St-Gabriel,45.50714392000,-73.55511904000,32.76767677000,743,0,36,70,201,0.00000000000,0.00000000000,408,0.00000000000,Notre-Dame / St-Gabriel,45.50714400000,-73.55511900000,2022,8304,8304.00000000000,408.00000000000,873,45.50714400000,-73.55511900000,2022,300493,5040800,743,300493.00000000000,5040800.00000000000,300493.00000000000,5040800.00000000000,346,24661257,Montr?Ñal,24661257,1152,24661257,787,4213.10000000000,0.05717916100,0.17153748400,0.36848792900,0.40279542600,0.09554140100,0.08280254800,0.80891719700,76715,61568,0.14600000000,0.49077490800,0.38554216900,0.13253012000,0.44578313300,0.04819277100
33,199,10709,29050,6026,6026,de la Commune / Place Jacques-Cartier,45.50761009000,-73.55183601000,145.97989950000,434,0,37,72,202,0.00000000000,0.00000000000,470,0.00000000000,de la Commune / Place Jacques-Cartier,45.50761000000,-73.55183600000,2022,43377,43377.00000000000,470.00000000000,925,45.50761000000,-73.55183600000,2022,300750,5040860,434,300750.00000000000,5040860.00000000000,300750.00000000000,5040860.00000000000,2027,24663439,Montr?Ñal,24663439,3193,24663439,822,625.50000000000,0.04866180000,0.09732360100,0.21897810200,0.63503649600,0.09090909100,0.08484848500,0.81212121200,137728,102912,0.10900000000,0.47388059700,0.73529411800,0.14705882400,0.04411764700,0.02941176500
34,199,16985,19874,6027,6027,de Maisonneuve / Mansfield (sud),45.50205386000,-73.57346535000,99.86934673000,114,0,38,75,202,0.00000000000,0.00000000000,623,0.00000000000,de Maisonneuve / Mansfield (nord),45.50231100000,-73.57336350000,2022,13622,13622.00000000000,623.00000000000,1047,45.50231100000,-73.57336350000,2022,299067,5040270,114,299065.60000000000,5040262.00000000000,299065.60000000000,5040262.00000000000,363,24661283,Montr?Ñal,24661283,1173,24661283,2492,3006.00000000000,0.04614767300,0.41332263200,0.32303370800,0.21749598700,0.29317269100,0.04618473900,0.64658634500,52736,45664,0.35500000000,0.45157657700,0.31174089100,0.15384615400,0.51417004000,0.00809716600
35,195,3666,4066,6029,6029,Bourget / St-Jacques,45.48084576000,-73.58386159000,20.85128205000,10,0,41,79,159,0.00000000000,0.00000000000,751,0.00000000000,Bourget / St-Jacques,45.48084580000,-73.58386160000,2022,5494,5494.00000000000,751.00000000000,1112,45.48084580000,-73.58386160000,2022,298244,5037880,10,298242.00000000000,5037853.33333000000,298242.00000000000,5037853.33333000000,2713,24662136,Montr?Ñal,24662136,1966,24662136,1767,21841.80000000000,0.06508206000,0.26881720400,0.49801924200,0.16808149400,0.09714285700,0.09714285700,0.80285714300,63424,51296,0.15400000000,0.44142614600,0.38695652200,0.45652173900,0.10434782600,0.03913043500
37,199,6616,10649,6032,6032,M?Ñtro Place-d'Armes (Viger / St-Urbain),45.50623000000,-73.55976000000,53.51256281000,735,0,43,83,202,0.00000000000,0.00000000000,404,0.00000000000,M?Ñtro Place-d'Armes (Viger / St-Urbain),45.50623000000,-73.55976000000,2022,14106,14106.00000000000,404.00000000000,869,45.50623000000,-73.55976000000,2022,300130,5040700,735,300130.00000000000,5040700.00000000000,300130.00000000000,5040700.00000000000,2901,24662115,Montr?Ñal,24662115,1945,24662115,1008,3939.00000000000,0.05456349200,0.25297619000,0.31250000000,0.37996031700,0.24875621900,0.06965174100,0.54228855700,51968,43520,0.32000000000,0.40273037500,0.27160493800,0.18518518500,0.50617284000,0.00000000000
38,198,2711,3116,6033,6033,16e avenue / Beaubien,45.55828064000,-73.58315885000,15.73737374000,25,0,44,85,132,0.00000000000,0.00000000000,560,0.00000000000,16e avenue / Beaubien,45.55828100000,-73.58315900000,2022,4920,4920.00000000000,560.00000000000,995,45.55828100000,-73.58315900000,2022,298308,5046490,25,298291.33333300000,5046470.00000000000,298291.33333300000,5046470.00000000000,401,24662089,Montr?Ñal,24662089,1920,24662089,1313,3893.80000000000,0.07996953500,0.08758568200,0.18278751000,0.64965727300,0.02941176500,0.47899159700,0.47478991600,32422,29904,0.27800000000,0.28735632200,0.50746268700,0.40298507500,0.02985074600,0.02985074600
40,196,3379,4389,6035,6035,Viger / Chenneville,45.50531167000,-73.56089115000,22.39285714000,319,0,46,88,202,0.00000000000,0.00000000000,403,0.00000000000,Viger / Chenneville,45.50531200000,-73.56089100000,2022,8452,8452.00000000000,403.00000000000,868,45.50531200000,-73.56089100000,2022,300042,5040600,319,300042.00000000000,5040600.00000000000,300042.00000000000,5040600.00000000000,2901,24662115,Montr?Ñal,24662115,1945,24662115,1008,3939.00000000000,0.05456349200,0.25297619000,0.31250000000,0.37996031700,0.24875621900,0.06965174100,0.54228855700,51968,43520,0.32000000000,0.40273037500,0.27160493800,0.18518518500,0.50617284000,0.00000000000
41,199,12860,30293,6036,6036,de la Commune / St-Sulpice,45.50424246000,-73.55346948000,152.22613070000,562,0,47,90,202,0.00000000000,0.00000000000,469,0.00000000000,de la Commune / St-Sulpice,45.50424200000,-73.55347000000,2022,37680,37680.00000000000,469.00000000000,924,45.50424200000,-73.55347000000,2022,300622,5040480,562,300622.00000000000,5040480.00000000000,300622.00000000000,5040480.00000000000,2027,24663439,Montr?Ñal,24663439,3193,24663439,822,625.50000000000,0.04866180000,0.09732360100,0.21897810200,0.63503649600,0.09090909100,0.08484848500,0.81212121200,137728,102912,0.10900000000,0.47388059700,0.73529411800,0.14705882400,0.04411764700,0.02941176500
42,199,6140,9422,6037,6037,St-Nicolas / Place d'Youville,45.50196686000,-73.55515257000,47.34673367000,718,0,48,92,202,0.00000000000,0.00000000000,394,0.00000000000,St-Nicolas / Place d'Youville,45.50196700000,-73.55515300000,2022,13373,13373.00000000000,394.00000000000,861,45.50196700000,-73.55515300000,2022,300490,5040230,718,300490.00000000000,5040230.00000000000,300490.00000000000,5040230.00000000000,345,24661256,Montr?Ñal,24661256,1151,24661256,1080,4213.80000000000,0.04166666700,0.23148148100,0.42592592600,0.30092592600,0.14814814800,0.05092592600,0.79629629600,76442,58848,0.16900000000,0.47814207700,0.26016260200,0.26829268300,0.41463414600,0.03252032500
